term,slug,aliases,categories,short_definition,source_name,source_section,entry_method,priority,issue_flags,review_notes
Cyanosis,cyanosis,,Conditions;Devices & Equipment;Symptoms & Monitoring,Blueness of skin caused by insufficient oxygen in the blood.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high,
D-TGA,d-tga,,Conditions;Tests & Imaging;Anatomy,"Dextro transposition of great arteries, the aorta and pulmonary artery are connected to the wrong chambers of the heart — the aorta leaves the right ventricle and the pulmonary artery leaves the left",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'TGA'
Dextrocardia,dextrocardia,,Conditions;Tests & Imaging,Abnormal position of the heart within the chest.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Diastolic Blood Pressure,diastolic-blood-pressure,,Symptoms & Monitoring,The blood pressure inside the arteries when the heart muscle is relaxed.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Blood Pressure'
Digoxin (Digitalis),digoxin-digitalis,,Conditions;Tests & Imaging;Medications,"A drug that causes the heart muscle to pump more effectively, thereby improving the circulation of the blood, and promoting the normal elimination of excess fluid.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;term_contains_parentheses_but_no_alias,
Diuretic,diuretic,,Conditions;Medications,A medicine that promotes the excretion of urine.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Dysrhythmia (Arrhythmia),dysrhythmia-arrhythmia,,Conditions,An abnormal rhythm of the heart.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_contains_parentheses_but_no_alias;term_nested_inside_another_term,Another normalized term is substring: 'Arrhythmia'
ECG or EKG,ecg-or-ekg,ECG;EKG,Tests & Imaging,"Electrocardiogram, a test where movement in electrical charges across the heart are recorded",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,alias_equals_other_term;missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_contains_or,Term matched as alias on slug 'electrocardiogram' ('ECG or EKG')
ECHO,echo,,Tests & Imaging,"Echocardiography, a diagnostic tool that uses Doppler techniques to evaluate blood flow patterns and pressures",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,alias_equals_other_term;aliases_empty_for_acronym_like_term;missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Fetal Echo' | Term matched as alias on slug 'echocardiogram' ('echo')
Echocardiogram,echocardiogram,echo,Tests & Imaging;Devices & Equipment,A sophisticated ultrasound machine that takes two-dimensional pictures of the heart to evaluate how it’s structured and how it’s functioning.,Mended Little Hearts,common_tests_and_procedures,manual,2,alias_equals_other_term;definition_very_long;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Fetal Echocardiogram' | Alias 'echo' equals term of slug 'echo'
Echocardiography,echocardiography,,Tests & Imaging,"A diagnostic method in which pulses of high-frequency sound, called ultrasound, are transmitted into the body and the echoes returning from the heart and other structures are made into an electronic picture.",Children's Heart Foundation,glossary_of_terms,scraped,2,,
ECMO,ecmo,,Devices & Equipment;Symptoms & Monitoring,"Extracorporeal membrane oxygenation, a technique that provides respiratory support.",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term,
Edema,edema,,Conditions;Procedures & Surgeries;Tests & Imaging;Devices & Equipment;Anatomy;Symptoms & Monitoring,Abnormally large amounts of fluid in the tissues of the body.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;definition_very_long;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Pulmonary Edema'
Electrocardiogram,electrocardiogram,ECG;ECG or EKG;EKG,Tests & Imaging,A common test that measures the electrical activity of the heart to check for abnormal heart rhythms and to see whether all chambers of the heart are beating together.,Mended Little Hearts,common_tests_and_procedures,manual,2,alias_equals_other_term;definition_very_long;possible_duplicate_acronym_or_alias,Alias 'ECG or EKG' equals term of slug 'ecg-or-ekg'
Endocardial Cushion Defect,endocardial-cushion-defect,,Conditions;Tests & Imaging;Anatomy,"A complex congenital heart malformation involving the septum, or wall, between the upper chambers of the heart, called the atria, and the septum, or wall, between the lower chambers of the heart, called the ventricles.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;short_equals_full_definition,
Enlarged Heart,enlarged-heart,,Conditions;Tests & Imaging,"A state in which the heart is larger than normal, most often related to a birth defect or underlying disease.",Children's Heart Foundation,glossary_of_terms,scraped,2,,
Extra Beats/Skipped Beats,extra-beats-skipped-beats,,General Medical Terms,"Single or multiple irregular beats, or palpitations, usually felt as a skip or momentary cessation of the heartbeat.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;short_equals_full_definition,
Fenestration,fenestration,,Procedures & Surgeries,"Surgical creation of an opening, sometimes used in Fontans",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;short_equals_full_definition,
Fetal Echo,fetal-echo,,Tests & Imaging;Devices & Equipment,Fetal echocardiogram (echo) is an echo performed on a pregnant mother to diagnose or monitor CHD in a baby before birth,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,alias_equals_other_term;missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'ECHO' | Term matched as alias on slug 'fetal-echocardiogram' ('fetal echo')
Fetal Echocardiogram,fetal-echocardiogram,fetal echo,Tests & Imaging;Devices & Equipment,A fetal echo is an ultrasound test that uses sound waves to create an image of your baby’s heart to see how it has formed and how it is working.,Mended Little Hearts,common_prenatal_tests_and_procedures,manual,2,alias_equals_other_term;definition_very_long;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Echocardiogram' | Alias 'fetal echo' equals term of slug 'fetal-echo'
Fluoroscope,fluoroscope,,Tests & Imaging,An instrument for observing the internal body organs at work.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Fontan,fontan,,Conditions;Procedures & Surgeries;Tests & Imaging;Devices & Equipment;Symptoms & Monitoring,A combined surgical procedure for complex congenital heart defects that redirects blood flow to bypass the right side of the heart and send oxygen-poor blood directly to the lungs,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_count_high;missing_period;short_equals_full_definition,
Foramen Ovale,foramen-ovale,,General Medical Terms,A hole between the left and right upper chambers of the heart that normally closes after birth.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Patent Foramen Ovale'
FTT,ftt,,Symptoms & Monitoring,"Failure to thrive, meaning the child has inappropriate weight loss or insufficient weight gain",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Glenn or Bidirectional Glenn Shunt,glenn-or-bidirectional-glenn-shunt,Bidirectional Glenn Shunt;Glenn,Procedures & Surgeries;Tests & Imaging;Devices & Equipment;Anatomy;Symptoms & Monitoring,A surgical procedure in which a large vein (the superior vena cava) is connected to the right pulmonary artery so that blood can bypass the heart’s right chambers and be taken directly to the lungs,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_count_high;missing_period;possible_duplicate_acronym_or_alias;term_contains_or;term_nested_inside_another_term;term_very_long,Another normalized term is substring: 'Shunt'
Heart Attack,heart-attack,,Tests & Imaging;Devices & Equipment;Symptoms & Monitoring,"The death of a portion of heart muscle, which may result in disability or death of the individual, depending on the extent of muscle damage.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high,
Heart Block,heart-block,,Tests & Imaging;Devices & Equipment,A condition in which the electrical impulse that travels through the heart’s specialized conduction system to trigger the events of the heartbeat is slowed or blocked along its pathway.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Heart Disease,heart-disease,,Tests & Imaging,A general term used to mean ailments of the heart or blood vessels related to structure or function.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Organic Heart Disease' | Normalized term is substring of another: vs 'Rheumatic Heart Disease'
Heart-Lung Machine,heart-lung-machine,,Procedures & Surgeries;Devices & Equipment,A special instrument used to provide circulation to the body during open-heart surgery.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Heparin,heparin,,Tests & Imaging;Medications,A type of anticoagulant that is given by injection.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
High Blood Pressure,high-blood-pressure,,Symptoms & Monitoring,An unstable or persistent elevation of blood pressure above the normal range.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Blood Pressure'
HLHS,hlhs,,Conditions;Tests & Imaging;Anatomy,"Hypoplastic left heart syndrome, characterized by a very small and non-functioning left ventricle and problems with the mitral valve (absent or non-functioning).",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;short_equals_full_definition,
Holter Monitoring,holter-monitoring,,Tests & Imaging;Devices & Equipment,A process by which the ECG can be tape-recorded for 14 hours.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
HRHS,hrhs,,Conditions;Tests & Imaging;Anatomy,"Hypoplastic right heart syndrome, characterized by a very small and non-functioning right ventricle and problems with the tricuspid valve (absent or non-functioning)",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;short_equals_full_definition,
HTN,htn,,Conditions;Symptoms & Monitoring,"Hypertension, high blood pressure in the vessels that carry blood from the heart to the body",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Hypertension,hypertension,,Conditions;Symptoms & Monitoring,Commonly called high blood pressure.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Pulmonary Hypertension'
Hypertrophy,hypertrophy,,General Medical Terms,Enlargement of a tissue or organ due to increase in the size of its cells.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms,
Hypoplastic,hypoplastic,,Conditions,When an organ does not completely develop or stops developing.,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,short_equals_full_definition,
Hypotension,hypotension,low blood pressure,Symptoms & Monitoring,Blood pressure below the normal range.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Hypoxia,hypoxia,,Devices & Equipment;Symptoms & Monitoring,Less than normal content of oxygen in the organs and tissues of the body.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
IAA,iaa,,Conditions;Anatomy,"Interrupted aortic arch, in which the aortic arch is divided or interrupted and a hole in the muscle wall between the two ventricles (VSD)",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Ischemia,ischemia,,General Medical Terms,Lack of blood supply to an organ or tissue,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_general_medical_terms;missing_period;short_equals_full_definition,
Isoproterenol,isoproterenol,,Medications,A drug that can be used as a cardiac stimulant to treat an abnormally slow heartbeat and to increase the strength of the heart’s pumping.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Jantene Operation,jantene-operation,,Procedures & Surgeries,A type of arterial switch surgical procedure,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;short_equals_full_definition,
L-TGA,l-tga,,Conditions;Procedures & Surgeries;Anatomy,"A condition in which the ventricles are on the opposite side of the heart compared to a normal heart, and the pulmonary artery and aorta are also switched",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'TGA'
LA,la,,Anatomy,"Left atrium, the left of the two top chambers of the heart",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Lanoxin,lanoxin,,Medications,See Digoxin.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
MI,mi,,Tests & Imaging;Devices & Equipment;Symptoms & Monitoring,"Myocardial infarction, a heart muscle that dies due to lack of oxygen, usually called a heart attack when it occurs in an adult",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;short_equals_full_definition,
Mitral Valve,mitral-valve,,Anatomy,A valve of two leaflets between the left atrium and left ventricle,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Mitral Valve Stenosis' | Another normalized term is substring: 'Valve'
Mitral Valve Stenosis,mitral-valve-stenosis,,Conditions;Tests & Imaging;Anatomy,A narrowing of the mitral valve situated between the upper and lower chambers on the left side of the heart.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Mitral Valve' | Another normalized term is substring: 'Stenosis' | Another normalized term is substring: 'Valve'
MPA,mpa,,Devices & Equipment;Anatomy;Symptoms & Monitoring,"Main pulmonary artery, one of the two main vessels that carries un-oxygenated blood from the heart to the lungs",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;short_equals_full_definition,
